Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,10-10-10,"top1: 59.53, top5: 82.14"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,10-10-10,"top1: 59.00, top5: 81.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,10-10-10,"top1: 59.56, top5: 82.39"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,10-10-10,"top1: 60.00, top5: 83.08"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,10-10-10,"top1: 60.22, top5: 82.83"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,10-10-10,"top1: 60.45, top5: 82.91"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,10-10-10,"top1: 57.89, top5: 80.62"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,20-5-5,"top1: 57.95, top5: 80.83"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,20-5-5,"top1: 57.26, top5: 80.63"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,20-5-5,"top1: 57.64, top5: 80.81"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,20-5-5,"top1: 55.86, top5: 78.88"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-20-5,"top1: 60.21, top5: 82.81"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-20-5,"top1: 61.45, top5: 83.46"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-20-5,"top1: 62.32, top5: 84.37"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-30-0,"top1: 61.20, top5: 83.41"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-5-20,"top1: 62.07, top5: 84.04"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-5-20,"top1: 62.46, top5: 84.58"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-30-0,"top1: 63.21, top5: 84.95"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-5-20,"top1: 62.46, top5: 84.81"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-30-0,"top1: 63.34, top5: 85.13"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-15-15,"top1: 62.58, top5: 84.48"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-5-25,"top1: 63.15, top5: 84.86"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-15-15,"top1: 63.31, top5: 85.07"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-15-15,"top1: 63.23, top5: 84.98"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-50-0,"top1: 63.02, top5: 84.77"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,15-15-0,"top1: 60.98, top5: 83.21"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,15-15-0,"top1: 60.70, top5: 83.12"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-50-0,"top1: 63.35, top5: 85.00"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,15-15-0,"top1: 59.66, top5: 82.65"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-0-50,"top1: 63.47, top5: 85.05"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-5-25,"top1: 62.66, top5: 84.62"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-0-50,"top1: 62.96, top5: 84.75"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-5-25,"top1: 62.65, top5: 84.77"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-10-35,"top1: 63.29, top5: 85.10"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-25-5,"top1: 62.67, top5: 84.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-10-35,"top1: 62.93, top5: 84.91"
