Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,4-4-4,"top1: 51.52, top5: 75.79"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,4-4-4,"top1: 51.54, top5: 75.80"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,4-4-4,"top1: 52.59, top5: 76.78"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,4-4-4,"top1: 49.73, top5: 73.34"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,4-4-4,"top1: 50.90, top5: 75.11"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,4-4-4,"top1: 52.17, top5: 76.47"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,4-4-4,"top1: 51.36, top5: 75.25"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",10.0,4-4-4,"top1: 49.66, top5: 74.91"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",2.0,4-4-4,"top1: 50.62, top5: 75.22"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",10.0,4-4-4,"top1: 50.94, top5: 75.28"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",2.0,4-4-4,"top1: 47.41, top5: 71.12"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",10.0,4-4-4,"top1: 46.87, top5: 70.34"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,6-3-3,"top1: 47.45, top5: 71.22"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,6-3-3,"top1: 46.83, top5: 69.88"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,6-3-3,"top1: 46.20, top5: 70.15"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,6-3-3,"top1: 43.15, top5: 67.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,6-3-3,"top1: 45.05, top5: 68.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",10.0,6-3-3,"top1: 39.74, top5: 64.07"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,6-3-3,"top1: 45.58, top5: 69.18"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",2.0,6-3-3,"top1: 46.05, top5: 68.59"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",10.0,6-3-3,"top1: 44.70, top5: 68.12"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,6-3-3,"top1: 44.64, top5: 67.23"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",2.0,6-3-3,"top1: 44.11, top5: 66.45"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",10.0,6-3-3,"top1: 43.94, top5: 66.37"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-6-3,"top1: 47.62, top5: 71.28"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,3-6-3,"top1: 46.10, top5: 68.36"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,3-6-3,"top1: 47.78, top5: 71.05"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-6-3,"top1: 46.03, top5: 71.43"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,3-6-3,"top1: 48.02, top5: 71.92"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",10.0,3-6-3,"top1: 44.27, top5: 70.08"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-6-3,"top1: 48.94, top5: 73.21"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",2.0,3-6-3,"top1: 47.59, top5: 71.22"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",10.0,3-6-3,"top1: 48.91, top5: 73.11"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,3-6-3,"top1: 43.91, top5: 66.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",2.0,3-6-3,"top1: 42.75, top5: 65.99"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",10.0,3-6-3,"top1: 42.60, top5: 64.64"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-3-6,"top1: 47.15, top5: 70.82"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,3-3-6,"top1: 44.98, top5: 68.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,3-3-6,"top1: 46.67, top5: 70.55"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-3-6,"top1: 46.36, top5: 71.38"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,3-3-6,"top1: 47.19, top5: 71.79"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",10.0,3-3-6,"top1: 44.59, top5: 70.21"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-3-6,"top1: 48.09, top5: 72.78"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",2.0,3-3-6,"top1: 47.16, top5: 70.79"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",10.0,3-3-6,"top1: 48.14, top5: 72.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,3-3-6,"top1: 42.65, top5: 65.43"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",2.0,3-3-6,"top1: 42.26, top5: 64.55"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",10.0,3-3-6,"top1: 41.76, top5: 64.05"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,6-6-0,"top1: 41.75, top5: 66.15"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,6-6-0,"top1: 42.07, top5: 64.76"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,6-6-0,"top1: 41.96, top5: 65.47"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,6-6-0,"top1: 38.06, top5: 62.56"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,6-6-0,"top1: 41.28, top5: 64.66"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",10.0,6-6-0,"top1: 36.20, top5: 60.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,6-6-0,"top1: 41.97, top5: 65.39"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",2.0,6-6-0,"top1: 42.05, top5: 65.05"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",10.0,6-6-0,"top1: 41.91, top5: 65.85"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,6-6-0,"top1: 40.67, top5: 62.83"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",2.0,6-6-0,"top1: 40.45, top5: 62.92"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",10.0,6-6-0,"top1: 40.22, top5: 62.80"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-6-6,"top1: 49.36, top5: 73.32"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,0-6-6,"top1: 48.43, top5: 71.56"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,0-6-6,"top1: 50.73, top5: 74.53"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-6-6,"top1: 53.72, top5: 78.42"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",2.0,0-6-6,"top1: 55.84, top5: 79.64"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",10.0,0-6-6,"top1: 55.53, top5: 80.12"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-6-6,"top1: 56.65, top5: 80.13"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",2.0,0-6-6,"top1: 55.40, top5: 79.56"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",10.0,0-6-6,"top1: 56.48, top5: 80.51"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,0-6-6,"top1: 50.17, top5: 73.76"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",2.0,0-6-6,"top1: 48.07, top5: 71.26"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",10.0,0-6-6,"top1: 47.05, top5: 70.54"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-12-0,"top1: 53.66, top5: 77.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,0-12-0,"top1: 52.50, top5: 75.63"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",10.0,0-12-0,"top1: 53.92, top5: 77.54"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-12-0,"top1: 56.77, top5: 80.97"
