Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,30-100-70,"top1: 74.35, top5: 93.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,30-100-70,"top1: 74.07, top5: 93.43"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,30-100-70,"top1: 74.70, top5: 93.62"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,30-100-70,"top1: 74.51, top5: 93.57"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.50, top5: 93.23"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.32, top5: 93.64"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.25, top5: 93.18"
mobilenet_v3_small,mobilenet_v3_small,"t:1.0, s:0.1",6.0,30-100-70,"top1: 74.64, top5: 93.54"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,30-100-70,"top1: 74.25, top5: 93.51"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,30-100-70,"top1: 74.46, top5: 93.76"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 74.49, top5: 93.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 74.47, top5: 93.84"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 73.59, top5: 93.74"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",6.0,30-100-70,"top1: 74.07, top5: 93.87"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",2.0,30-100-70,"top1: 73.68, top5: 93.27"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,30-100-70,"top1: 74.24, top5: 93.16"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",2.0,30-100-70,"top1: 74.64, top5: 93.40"
mobilenet_v3_small,mobilenet_v3_small,"t:0.1, s:1.0",2.0,30-100-70,"top1: 74.44, top5: 93.74"
