Teacher,Student,Alpha,Temperature,Epochs,QKD Accuracy
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-5-5,"top1: 51.94, top5: 76.14"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-5-5,"top1: 52.00, top5: 76.43"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-5-5,"top1: 53.15, top5: 76.62"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,5-5-5,"top1: 50.72, top5: 74.75"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,5-5-5,"top1: 50.23, top5: 75.51"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:1.0",6.0,5-5-5,"top1: 47.91, top5: 73.57"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,10-5-5,"top1: 49.34, top5: 73.13"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,10-5-5,"top1: 45.67, top5: 70.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,10-5-5,"top1: 48.62, top5: 72.57"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,10-5-5,"top1: 46.83, top5: 70.61"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,10-5-5,"top1: 44.53, top5: 69.92"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:1.0",6.0,10-5-5,"top1: 39.67, top5: 65.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,5-10-10,"top1: 50.28, top5: 74.37"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,5-10-10,"top1: 50.21, top5: 75.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,5-10-10,"top1: 53.45, top5: 77.64"
mobilenet_v3_small,mobilenet_v3_small,"t:0.7, s:0.3",6.0,5-10-10,"top1: 50.11, top5: 73.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:1.0",6.0,5-10-10,"top1: 50.85, top5: 76.64"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.0",6.0,4-4-4,"top1: 49.85, top5: 73.60"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,4-4-4,"top1: 57.23, top5: 80.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,4-4-4,"top1: 56.39, top5: 79.31"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,4-4-4,"top1: 53.29, top5: 78.07"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,6-3-3,"top1: 51.40, top5: 75.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,6-3-3,"top1: 50.75, top5: 74.68"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,6-3-3,"top1: 47.36, top5: 71.18"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-6-3,"top1: 51.71, top5: 75.67"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-6-3,"top1: 52.27, top5: 76.44"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-6-3,"top1: 49.74, top5: 75.32"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-3-6,"top1: 51.61, top5: 75.34"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-3-6,"top1: 51.87, top5: 76.10"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-3-6,"top1: 49.62, top5: 74.79"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,6-6-0,"top1: 48.74, top5: 71.84"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,6-6-0,"top1: 47.62, top5: 71.87"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,6-6-0,"top1: 42.59, top5: 67.34"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-6-6,"top1: 53.25, top5: 76.92"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-6-6,"top1: 56.72, top5: 79.98"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-6-6,"top1: 58.96, top5: 81.72"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,0-12-0,"top1: 58.00, top5: 81.00"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,0-12-0,"top1: 58.92, top5: 81.71"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-12-0,"top1: 60.10, top5: 82.86"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,3-9-0,"top1: 57.30, top5: 80.58"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,3-9-0,"top1: 55.90, top5: 80.05"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,3-9-0,"top1: 55.01, top5: 78.93"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:0.5",6.0,9-3-0,"top1: 50.32, top5: 74.07"
mobilenet_v3_small,mobilenet_v3_small,"t:0.3, s:0.7",6.0,9-3-0,"top1: 50.35, top5: 74.11"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,9-3-0,"top1: 48.55, top5: 72.72"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,30-0-0,"top1: 53.04, top5: 76.25"
mobilenet_v3_small,mobilenet_v3_small,"t:0.5, s:1.0",6.0,0-30-0,"top1: 62.63, top5: 84.47"
